Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Denmark,91,92,91,90,88,88,87,88,88,90,90,90,89
Finland,89,89,90,89,85,85,86,85,88,87,87,88,88
New Zealand,91,91,88,90,89,87,87,88,88,87,85,83,81
Singapore,86,84,85,84,84,85,85,85,85,83,83,84,84
Switzerland,85,86,86,86,85,85,85,85,84,82,82,81,81
Norway,86,86,87,85,85,84,84,84,85,84,84,81,81
Sweden,88,87,89,88,84,85,85,85,85,83,82,80,80
Netherlands,83,83,87,83,82,82,82,82,82,80,82,78,78
Germany,78,79,81,81,81,80,80,80,80,79,79,75,78
Luxembourg,80,82,81,81,82,81,80,80,81,77,78,81,80
United Kingdom,76,78,81,81,82,80,77,77,78,73,71,71,71
Australia,85,80,79,79,77,77,77,77,73,75,76,77,77
Canada,84,81,83,82,82,81,77,77,74,74,77,75,76
Hong Kong,77,74,75,77,77,76,76,77,76,76,75,74,76
Austria,69,72,76,75,75,76,77,76,74,71,72,67,70
Estonia,68,69,70,70,71,73,74,75,74,74,76,76,76
USA,73,74,76,74,75,71,69,67,67,69,69,65,64
France,71,69,70,69,70,72,69,69,71,72,71,67,68
Japan,74,76,75,72,73,73,73,74,73,73,73,71,71
Uruguay,73,73,74,71,70,70,71,71,73,74,73,76,75
South Korea,55,55,56,53,54,57,59,61,62,63,63,64,63
Spain,59,60,58,58,57,58,62,62,61,60,61,56,56
Italy,43,43,44,47,50,52,53,53,56,56,56,55,55
Poland,60,61,62,62,60,60,58,56,56,55,55,53,53
Saudi Arabia,46,49,52,46,49,49,53,53,53,51,53,59,58
Israel,61,60,61,64,62,61,60,60,59,63,62,65,63
Turkey,50,45,42,41,40,41,39,40,38,36,34,34,31
Hungary,54,54,51,48,45,46,45,44,43,42,42,41,40
China,40,36,37,40,41,40,41,42,45,46,42,43,43
India,36,38,38,40,40,41,41,40,40,40,39,38,39
Brazil,43,43,38,40,37,35,35,38,38,38,35,34,36
Ukraine,25,26,27,29,30,32,30,33,32,33,36,35,36
Russia,28,27,29,29,29,28,28,30,29,28,26,22,22
Argentina,35,34,32,36,39,40,45,42,38,39,37,38,37
Turkey,50,45,42,41,40,41,39,40,38,36,34,34,31
South Africa,42,44,44,45,43,43,44,44,44,43,41,41,41
Greece,40,43,46,44,48,45,48,50,49,52,50,50,50
Romania,43,43,46,48,48,47,44,44,45,46,46,46,45
Bulgaria,41,43,41,41,43,43,43,44,42,43,41,44,41
Belarus,29,31,32,40,44,44,45,47,41,40,37,34,32
Kazakhstan,26,29,28,29,31,31,34,38,37,36,39,40,39
Egypt,32,37,36,34,32,35,35,33,33,30,35,31,30
Indonesia,32,34,36,37,37,38,40,37,38,34,35,37,34
Vietnam,31,31,31,33,35,33,37,36,39,42,41,41,42
Mexico,34,35,35,30,29,28,29,31,31,31,28,26,28
Thailand,35,38,38,35,37,36,36,36,35,36,35,34,33
Philippines,36,38,35,35,34,36,34,34,33,33,34,33,32
Nigeria,27,27,26,28,27,27,26,25,24,24,25,26,26
Pakistan,28,29,30,32,32,33,32,31,28,27,29,27,28
Iran,25,27,27,29,30,28,26,25,25,25,24,23,24
Afghanistan,8,12,11,15,15,16,16,19,16,24,21,19,17
Syria,17,20,18,13,14,13,13,14,13,13,13,13,15
North Korea,8,8,8,12,17,14,17,18,16,17,17,16,16
Venezuela,20,19,17,17,18,18,16,15,14,14,16,12,13
South Sudan,14,15,15,11,12,13,12,12,11,13,13,8,9
Somalia,8,8,8,10,9,10,9,12,13,12,11,9,10
